,Countryno,country,year,CO2_transport_capita,GDP_per_capita,gas_cons_capita,vehicles_capita,urban_pop,pop_density
116,3,Canada,1984,4.326900630301143,23183.7580064263,941.2108007158976,542.6616653887249,76.195,2.826411363708843
117,3,Canada,1985,4.363580294503122,24162.2738210275,927.3379076401203,552.6758116539826,76.354,2.8528038128291495
118,3,Canada,1986,4.319951152495802,24410.2270563317,921.8821553961227,563.4754478203763,76.502,2.881615569785484
119,3,Canada,1987,4.445951035781544,25539.2486557854,919.7740112994351,581.0219996041628,76.522,2.9196646839339264
120,3,Canada,1988,4.663320319762038,26784.2074893449,932.8127904815021,592.3962774916471,76.542,2.957603829544367
121,3,Canada,1989,4.654662332444574,27427.369708885,934.2561817451331,597.7167753353191,76.562,3.0108286019369856
122,3,Canada,1990,4.456118887409593,26972.5235727389,897.7006944694326,598.9199898659783,76.582,3.056135639593512
123,3,Canada,1991,4.264566098680228,25939.0732655478,856.356393629603,570.8552814153609,76.62,3.0979986825769146
124,3,Canada,1992,4.36121169594367,25832.2413399881,857.7260050343629,569.5939327684523,76.887,3.1362583864756295
125,3,Canada,1993,4.3799883537881925,26180.2505730892,867.257809603512,568.024527235487,77.152,3.170767943291424
126,3,Canada,1994,4.550028431666412,27408.5067712704,883.3155754212727,570.6245622634274,77.414,3.2013937412506284
127,3,Canada,1995,4.632418069087688,28413.6410806437,877.6998024119371,567.3854162585454,77.675,3.2280164644895097
128,3,Canada,1996,4.694677455774656,28795.580331998,879.2493908377961,565.6737729054646,77.951,3.262975462720116
129,3,Canada,1997,4.792711556930957,29858.7382474152,891.2802795859567,569.6192159253665,78.34,3.2976485427519187
130,3,Canada,1998,4.8386830160110295,30283.5030363979,902.4097540655714,581.3339153831377,78.724,3.3263173406088518
131,3,Canada,1999,4.919145420207744,31870.401068358,917.2371734340572,565.9315331703813,79.103,3.353952434208573
132,3,Canada,2000,4.835926252124655,33487.42629176,909.0111375801519,571.8805546623122,79.478,3.3836989237379185
133,3,Canada,2001,4.718501764692634,33078.2387230168,911.0768646704353,570.5052809588053,79.81,3.4180311013019176
134,3,Canada,2002,4.75990051654869,32962.728128789,921.4335820419617,580.8976954213965,79.888,3.4488332887960755
135,3,Canada,2003,4.796375805025888,33608.5243295788,926.3795933830029,595.1057398062039,79.967,3.4833634097284767
136,3,Canada,2004,4.896702609782778,34543.4438285848,934.7085482106579,608.6847346134113,80.045,3.5184433733508844
137,3,Canada,2005,4.93872245605348,35404.3886252051,920.741520178262,621.8768935864273,80.122,3.5533033998972896
138,4,Denmark,1960,0.7205864787842964,11049.583489234,146.95596976419137,126.200875464708,73.687,108.118952088742
139,4,Denmark,1961,0.7784569941542,11665.5330994755,164.36501436459153,142.7982605063721,74.417,108.84321453858863
140,4,Denmark,1962,0.8089976024839669,12233.8141657309,177.29096394861403,161.72042679078243,75.093,109.6938163795138
141,4,Denmark,1963,0.8773646953142962,12383.9428096635,193.1910095521747,175.74786969425668,75.757,110.56131696955393
142,4,Denmark,1964,0.9445006344672424,13370.6844386508,210.92435693483708,192.18221193250693,76.409,111.44847769648337
143,4,Denmark,1965,1.069549730070023,13906.0383085461,215.5909672007551,207.62604043659047,77.048,112.32032098182677
144,4,Denmark,1966,1.1735569886986255,14237.6107603764,232.21003293255217,222.5208244911502,77.619,113.22589096058532
145,4,Denmark,1967,1.178817517807383,14925.7215244861,245.89719801280322,237.4793313561012,78.163,114.12211470379985
146,4,Denmark,1968,1.2847174330811244,15672.0550817448,261.67124676996343,251.1934087370497,78.698,114.81904649516167
147,4,Denmark,1969,1.4064180086919902,16786.9533255485,286.18971107104454,264.3149356420964,79.222,115.45574699079538
148,4,Denmark,1970,1.4628434714878416,16978.3413144713,287.49642151154944,270.97364026687796,79.737,116.32657540712769
149,4,Denmark,1971,1.4869660774278146,17269.5785566606,296.78875773051095,277.2379010935914,80.239,117.1377389662497
150,4,Denmark,1972,1.522559117364466,17945.4747989397,300.3047522275441,283.72746792386044,80.731,117.80967665801275
151,4,Denmark,1973,1.5810871706723861,18878.2838374012,303.87141340630495,294.69569798570103,81.211,118.52397923058768
152,4,Denmark,1974,1.5539223954506545,18034.8864783383,279.468185916508,295.2434203696736,81.683,119.07710644323814
153,4,Denmark,1975,1.6937220817484746,17828.4167760656,300.7987174353767,304.52614763243236,82.146,119.42086381873968
154,4,Denmark,1976,1.7308691644278393,19011.8710271578,318.57455235938363,317.09788588264166,82.6,119.72140665565259
155,4,Denmark,1977,1.764791775205619,19349.3937008121,324.4622740383604,325.51104826589824,82.886,120.0948548501298
156,4,Denmark,1978,1.8024202585767775,19963.9619666239,338.1497137286433,331.857391821999,83.169,120.46844465423649
157,4,Denmark,1979,1.7979983978270797,20532.6425951155,318.9492810058472,334.1215800094043,83.448,120.73621991505428
158,4,Denmark,1980,1.7333502243888232,20150.1530174744,293.771631498331,325.08298026314736,83.723,120.88312883435583
159,4,Denmark,1981,1.692839620335319,19282.974146973,276.47761273296555,318.8988837801996,83.915,120.84879660217084
160,4,Denmark,1982,1.7116696399436475,19506.1853782657,270.81896358012506,316.25320649966665,84.025,120.76002831524303
161,4,Denmark,1983,1.7011135645817987,19682.6040833577,277.84854888169383,322.27223388259455,84.134,120.67713544124587
162,4,Denmark,1984,1.8096027892532678,20211.5034725019,288.55828261065625,333.9202196883768,84.243,120.61394525719679
163,4,Denmark,1985,2.0963331574003985,20744.9188953363,295.8723943233957,348.76813078878445,84.351,120.6628362435111
164,4,Denmark,1986,2.181413110429498,22368.8381887625,295.4769951727691,359.61730886518666,84.458,120.82430391694196
165,4,Denmark,1987,2.141593251757745,22569.2785303235,294.90792319286976,367.056768716208,84.565,120.94890304317056
166,4,Denmark,1988,2.142502333553497,22539.3618615848,299.6384064305482,370.05847953216374,84.671,121.00769049304081
167,4,Denmark,1989,2.199667458598907,22846.8332752776,294.7827161080732,370.4403741231489,84.777,121.08030195800896
168,4,Denmark,1990,1.993799187269096,23328.9539249303,300.52875554446376,368.22957198443584,84.843,121.27716442557207
169,4,Denmark,1991,2.1011590715166255,23527.2877716905,318.95711113327167,369.2859914629414,84.871,121.59230950695918
170,4,Denmark,1992,2.088421443447288,24205.2685569911,334.14743095156604,383.21083172147,84.898,121.88003770916804
171,4,Denmark,1993,2.1335119804310505,23936.9451729505,342.2870169146834,374.7735594526884,84.925,122.28677822295546
172,4,Denmark,1994,2.210834047228486,25330.6908856384,353.23404108194495,374.02497598463015,84.952,122.7004477963705
173,4,Denmark,1995,2.2222761496266368,26295.5087301399,355.02915614843425,387.64345830145373,84.979,123.34133867546548
174,4,Denmark,1996,2.2325355866172507,27123.3178369744,356.6356847728153,397.6624857468643,85.006,124.04133867546547
175,4,Denmark,1997,2.2478751619444575,28948.9596257521,364.80667611354494,405.54504163512496,85.033,124.55788357294367
176,4,Denmark,1998,2.249152985576199,30285.19848673,370.6483461561448,412.86549707602336,85.06,125.01105349988215
177,4,Denmark,1999,2.249239401939081,30977.6271932199,367.9206974934604,419.13893589020495,85.086,125.42538298373792
178,4,Denmark,2000,2.2323702678245025,32337.083675984,361.44921282728944,418.03449587941935,85.1,125.84529813810983
179,4,Denmark,2001,2.2318500301281095,32129.6032014234,355.3045532912977,427.0246711893853,85.15,126.29703040301673
180,4,Denmark,2002,2.2582135075766416,32652.9663540146,355.65932672870986,430.4302541310217,85.25,126.7011784115013
181,4,Denmark,2003,2.3374134183112965,31182.9555443258,355.620755785933,443.7777835031961,85.36,127.04628800377091
182,4,Denmark,2004,2.4016920642210238,32246.1289044272,350.44720875459313,456.89443796403293,85.566,127.37504124440254
183,4,Denmark,2005,2.443060453567828,31887.6490143638,338.96541187342143,470.1232302824635,85.856,127.72641998585907
184,5,France,1960,0.7631702443523205,9274.13819014663,116.16908859958497,157.9309645608758,61.88,85.4746925
185,5,France,1961,0.7876294849658024,9621.90132577387,125.3652407077112,171.6789647463971,62.607,86.3709781104013
186,5,France,1962,0.7832855898643721,10052.8526813577,132.5063332255265,171.207613814131,63.489,87.64269330089888
187,5,France,1963,0.8347534237981526,10537.9410026502,143.47902022331348,207.8808807672727,64.702,88.93359887209944
188,5,France,1964,0.8616085134943635,11133.8072477734,155.83100601454606,225.79070544764744,65.898,90.1465120186425
189,5,France,1965,0.8811609765377926,11559.655286621,167.56274057361478,242.60839717634875,67.071,91.21360895307598
190,5,France,1966,0.899651642272729,12064.3123652519,179.89067001759307,259.4548318566003,68.225,92.0996391302601
191,5,France,1967,0.9217140363413844,12572.0924011136,194.39608096241662,285.8415904174058,69.357,92.82755686072547
192,5,France,1968,0.9739123583616044,13008.8631614624,208.87137236210248,282.5251919777122,70.238,93.45911908336164
193,5,France,1969,1.0238994434859041,13827.5449241707,220.28881107339387,301.73007132692163,70.648,94.08679684275504
194,5,France,1970,1.0627065665997242,14512.6802374592,236.6473135885986,312.77584694885815,71.055,94.77541154856219
195,5,France,1971,1.1444943409743367,15264.8519641933,254.64425692720584,296.37643920768926,71.459,95.55021495125702
